CCD CH, R(0), R(1), R(2),  Max line
RED0_0,      0.985547,  1.78493e-006, -5.51103e-011,       16181.0
RED0_1,      0.984710,  1.90350e-006, -5.92450e-011,       16041.0
RED1_0,      0.984587,  1.96481e-006, -6.26179e-011,       15658.0
RED1_1,      0.984765,  1.92191e-006, -6.06137e-011,       15826.0
RED2_0,      0.985887,  1.76631e-006, -5.52664e-011,       15952.0
RED2_1,      0.988934,  1.40909e-006, -4.48559e-011,       15688.0
RED3_0,      0.988664,  1.42922e-006, -4.50471e-011,       15864.0
RED3_1,      0.986267,  1.72316e-006, -5.40546e-011,       15926.0
RED4_0,      0.988120,  1.43160e-006, -4.31277e-011,       16571.0
RED4_1,      0.989250,  1.31331e-006, -4.01105e-011,       16354.0
RED5_0,      0.989034,  1.33998e-006, -4.09358e-011,       16342.0
RED5_1,      0.985607,  1.74441e-006, -5.28567e-011,       16496.0
RED6_0,      0.986610,  1.54727e-006, -4.46997e-011,       17300.0
RED6_1,      0.984010,  1.87138e-006, -5.47556e-011,       17071.0
RED7_0,      0.993863,  7.71691e-007, -2.42574e-011,       15835.0
RED7_1,      0.986388,  1.62978e-006, -4.87851e-011,       16685.0
RED8_0,      0.985304,  1.68740e-006, -4.84360e-011,       17386.0
RED8_1,      0.982264,  2.02829e-006, -5.79907e-011,       17453.0
RED9_0,      0.985488,  1.69112e-006, -4.92696e-011,       17117.0
RED9_1,      0.982879,  2.01728e-006, -5.94216e-011,       16932.0
IR10_0,      0.990100,  1.56553e-006, -6.18947e-011,       12622.0
IR10_1,      0.994913,  9.06104e-007, -4.03528e-011,       11210.0
IR11_0,      0.994461,  1.03367e-006, -4.82301e-011,       10671.0
IR11_1,      0.994886,  9.70969e-007, -4.60918e-011,       10522.0
BG12_0,      0.983371,  2.22085e-006, -7.41530e-011,       14964.0
BG12_1,      0.979282,  2.70864e-006, -8.85335e-011,       15296.0
BG13_0,      0.985674,  2.00726e-006, -7.03132e-011,       14253.0
BG13_1,      0.988540,  1.61691e-006, -5.70337e-011,       14140.0
